FoodName,Carbs,Calories,Protein,Fat
"Pickles, cucumber, dill or kosher dill",1.99,12.0,0.48,0.43
"Pork, cured, bacon, cooked, restaurant",2.1,2090.0,40.9,36.5
"Restaurant, Chinese, fried rice, without meat",32.5,174.0,3.84,3.19
"Restaurant, Chinese, sweet and sour pork",25.5,260.0,8.88,13.6
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",31.5,229.0,5.59,9.01
"Restaurant, Latino, tamale, pork",15.8,728.0,7.38,9.04
"Sauce, pasta, spaghetti/marinara, ready-to-serve",8.05,45.0,1.41,1.48
"Sauce, salsa, ready-to-serve",6.74,29.0,1.44,0.19
"Sausage, Italian, pork, mild, cooked, pan-fried",2.15,322.0,18.2,26.2
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",3.37,1370.0,13.3,28.7
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",2.63,1450.0,19.3,28.1
"Sausage, turkey, breakfast links, mild, raw",0.93,169.0,16.7,10.4
"Seeds, sunflower seed kernels, dry roasted, with salt added",17.1,2560.0,21.0,56.1
"Strawberries, raw",7.63,132.0,0.64,0.22
"Sugars, granulated",99.6,385.0,0.0,0.32
"Tomatoes, canned, red, ripe, diced",3.32,76.0,0.84,0.5
"Tomatoes, grape, raw",5.51,113.0,0.83,0.63
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.0,922.0,27.1,11.6
"Yogurt, Greek, plain, nonfat",3.64,61.0,10.3,0.37
"Yogurt, Greek, strawberry, nonfat",12.2,347.0,8.06,0.15
